word,lemma,lemma1,mor,mor2,inCDI,aoa,category,lexical_class
ernie,ernie,ernie,n,prop,FALSE,NA,NA,NA
mommy,mommy,mommy,n,prop,TRUE,16,people,other
bah,bah,bah,co,NA,FALSE,NA,NA,NA
bah,bah,bah,n,NA,FALSE,NA,NA,NA
bah,bah,bah,on,NA,FALSE,NA,NA,NA
hello,hello,hello,co,NA,TRUE,18,games_routines,other
hello,hello,hello,n,NA,TRUE,18,games_routines,other
huh,huh,huh,co,NA,FALSE,NA,NA,NA
ooh,ooh,ooh,v,NA,FALSE,NA,NA,NA
ooh,ooh,ooh,on,NA,FALSE,NA,NA,NA
two,two,two,det,num,FALSE,NA,NA,NA
wee,wee,wee,adj,NA,FALSE,NA,NA,NA
wee,wee,wee,v,NA,FALSE,NA,NA,NA
why,why,why,adv,int,TRUE,28,question_words,function_words
woo,woo,woo,co,NA,FALSE,NA,NA,NA
woo,woo,woo,v,NA,FALSE,NA,NA,NA
woo,woo,woo,on,NA,FALSE,NA,NA,NA
woo,woo,woo,chi,NA,FALSE,NA,NA,NA
ball,ball,ball,n,NA,TRUE,16,toys,nouns
ball,ball,ball,v,NA,TRUE,16,toys,nouns
bat,bat,bat,n,NA,TRUE,26,toys,nouns
bat,bat,bat,v,NA,TRUE,26,toys,nouns
one,one,one,pro,indef,FALSE,NA,NA,NA
one,one,one,det,num,FALSE,NA,NA,NA
tree,tree,tree,n,NA,TRUE,20,outside,nouns
water,water,water,n,NA,FALSE,NA,NA,NA
water,water,water,part,NA,FALSE,NA,NA,NA
water,water,water,v,NA,FALSE,NA,NA,NA
water,water,water,adj,NA,FALSE,NA,NA,NA
wow,wow,wow,co,NA,FALSE,NA,NA,NA
wow,wow,wow,on,NA,FALSE,NA,NA,NA
mama,mama,mama,n,prop,FALSE,NA,NA,NA
mama,mama,mama,adj,NA,FALSE,NA,NA,NA
a,a,a,det,art,TRUE,27,quantifiers,function_words
a,a,a,det,art,TRUE,NA,quantifiers,function_words
a,a,a,n,let,TRUE,27,quantifiers,function_words
a,a,a,n,let,TRUE,NA,quantifiers,function_words
a,a,a,on,NA,TRUE,27,quantifiers,function_words
a,a,a,on,NA,TRUE,NA,quantifiers,function_words
a,a,a,adv,NA,TRUE,27,quantifiers,function_words
a,a,a,adv,NA,TRUE,NA,quantifiers,function_words
a,a,a,sing,NA,TRUE,27,quantifiers,function_words
a,a,a,sing,NA,TRUE,NA,quantifiers,function_words
