"","Gloss"
"1","mhm"
"2","mhm:"
"3","eh"
"4","ah"
"5","a"
"6","maman"
"7","coucou"
"8","ma"
"9","regarde"
"10","non"
"11","là"
"12","ouais"
"13","allo"
"14","tiens"
"15","mh"
"16","boum"
"17","encore"
"18","tétine"
"19","oh"
"20","ouh"
"21","ma:"
"22","euh"
"23","hein"
"24","hi"
"25","ça"
"26","ah:"
"27","pas"
"28","vache"
"29","yeux"
"30","je"
"31","veux"
"32","balle"
"33","moi"
"34","meuh"
"35","bravo"
"36","voir"
"37","là-haut"
"38","donner"
"39","ouvrir"
"40","boire"
"41","enlever"
"42","papa"
"43","là-bas"
"44","il"
"45","est"
"46","viens"
"47","tic"
"48","tac"
"49","pain"
"50","oui"
"51","voilà"
"52","pomme"
"53","une"
"54","mm"
"55","non:"
"56","celui"
"57","un"
"58","elle"
"59","la"
"60","fait"
"61","caca"
"62","chien"
"63","mm:"
"64","miam"
"65","pot"
"66","rien"
"67","berk"
"68","pff"
"69","toc"
"70","clac"
"71","crac"
"72","meuh:"
"73","miaou"
"74","mets"
"75","à"
"76","hop"
"77","tracteur"
"78","pour"
"79","aller"
"80","bon"
"81","coccinelle"
"82","cuillère"
"83","Babar"
"84","ballon"
"85","boule"
"86","en_haut"
"87","en"
"88","haut"
"89","gros"
"90","rond"
"91","dom"
"92","ding"
"93","et"
"94","tête"
"95","cache+cache"
"96","où"
"97","camion"
"98","grand"
"99","eau"
"100","y"
"101","d'accord"
"102","j'en"
"103","tire"
"104","toi"
"105","chaussons"
"106","peu"
"107","Barbapapa"
"108","les"
"109","éh"
"110","voiture"
"111","Nat"
"112","dada"
"113","au"
"114","trot"
"115","hoplà"
"116","ronds"
"117","Winnie"
"118","Petit_Rond"
"119","le"
"120","cache"
"121","attention"
"122","Nanou"
"123","copain"
"124","lapin"
"125","chemin"
"126","aïe"
"127","donne"
"128","tut@o"
"129","comme"
"130","pinpon@o"
"131","Pinpon"
"132","l'eau"
"133","hm"
"134","papi"
"135","bain"
"136","hibou"
"137","beau"
"138","moto"
"139","Tigrou"
"140","bébé"
"141","pipi"
"142","tortue"
"143","chocolat"
"144","loup"
"145","pleure"
"146","poisson"
"147","doux"
"148","maintenant"
"149","lion"
"150","hippopotame"
"151","grr"
"152","tigre"
"153","zèbre"
"154","Cache_Cache"
"155","Rond"
"156","petit"
"157","disque"
"158","c'est"
"159","alors"
"160","fais"
"161","rat"
"162","éléphant"
"163","mon"
"164","des"
"165","rats"
"166","vu"
"167","verra"
"168","licorne"
"169","noir"
"170","soir"
"171","souris"
"172","dans"
"173","nage"
"174","petits"
"175","poissons"
"176","que"
"177","charmant"
"178","content"
"179","sabot"
"180","sapin"
"181","pâtes"
"182","top"
"183","Michalak"
"184","très"
"185","Tatan"
"186","train"
"187","Babou"
"188","garde"
"189","allume"
"190","éteindre"
"191","Jea"
"192","Jean"
"193","Nathan"
"194","one"
"195","es"
"196","fou"
"197","veut"
"198","dodo"
"199","attaque"
"200","chausson"
"201","manger"
"202","verre"
"203","ronde"
"204","du"
"205","jaune"
"206","lui"
"207","bleu"
"208","de"
"209","vert"
"210","plus"
"211","nez"
"212","coule"
"213","là:"
"214","ou"
"215","dessin"
"216","quand"
"217","Stéphane"
"218","musique"
"219","moulin"
"220","pied"
"221","bateau"
"222","rivière"
"223","sur"
"224","jouer"
"225","rentre"
"226","elles"
"227","sont"
"228","bleues"
"229","chaussure"
"230","enfants"
"231","tortues"
"232","quoi"
"233","roue"
"234","celle-là"
"235","celle"
"236","gris"
"237","quatre"
"238","écrit"
"239","peur"
"240","trou"
"241","Zou"
"242","parti"
"243","ses"
"244","pattes"
