num_item_id,definition,type,category,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
1,aie,word,sounds,0.3,0.38,0,0.55,0.52,0.68,0.76,0.7,0.78,0.83,0.81,0.81,0.79,0.69,0.9
2,allo,word,sounds,0.48,0.62,0,0.82,0.72,0.77,0.83,0.89,0.93,1,0.94,0.92,0.91,0.94,0.97
3,bêê bêê,word,sounds,0.19,0.15,0,0.36,0.38,0.54,0.51,0.58,0.59,0.69,0.59,0.73,0.53,0.6,0.62
4,cocorico,word,sounds,0.03,0.04,0,0.18,0.25,0.2,0.24,0.21,0.28,0.36,0.44,0.35,0.44,0.37,0.48
5,coin coin,word,sounds,0.19,0.27,0,0.55,0.35,0.41,0.54,0.65,0.58,0.6,0.69,0.81,0.59,0.51,0.76
6,grrrr,word,sounds,0.33,0.23,0,0.36,0.5,0.46,0.44,0.46,0.55,0.64,0.53,0.58,0.44,0.37,0.52
7,meuh,word,sounds,0.36,0.35,0,0.64,0.75,0.79,0.71,0.72,0.77,0.81,0.81,0.85,0.74,0.77,0.93
8,miam miam,word,sounds,0.36,0.27,0,0.36,0.32,0.38,0.46,0.55,0.47,0.38,0.47,0.35,0.38,0.23,0.48
9,miaou,word,sounds,0.34,0.27,0,0.64,0.55,0.71,0.66,0.68,0.78,0.79,0.78,0.88,0.76,0.77,0.9
10,oh oh,word,sounds,0.45,0.5,0,0.55,0.7,0.62,0.63,0.58,0.68,0.71,0.69,0.73,0.68,0.46,0.66
11,ouaf ouaf,word,sounds,0.42,0.54,0,1,0.6,0.73,0.83,0.65,0.68,0.71,0.81,0.69,0.62,0.6,0.72
12,tchou tchou,word,sounds,0.12,0.08,0,0.18,0.32,0.34,0.34,0.46,0.36,0.52,0.44,0.35,0.44,0.4,0.41
13,vroum,word,sounds,0.34,0.54,0,0.73,0.57,0.62,0.61,0.73,0.57,0.67,0.78,0.62,0.59,0.43,0.69
14,ainsi font font,word,games_routines,0.13,0.27,0,0.27,0.2,0.25,0.32,0.3,0.39,0.48,0.34,0.42,0.53,0.54,0.31
15,au revoir,word,games_routines,0.39,0.5,0,1,0.65,0.84,0.85,0.86,0.88,0.88,0.91,0.88,0.97,0.91,1
16,bain,word,games_routines,0.24,0.31,0,0.73,0.55,0.7,0.8,0.83,0.84,0.93,0.81,0.81,0.91,0.91,1
17,bonjour,word,games_routines,0.03,0.15,0,0.45,0.38,0.48,0.63,0.59,0.7,0.86,0.81,0.81,0.85,0.94,0.93
18,bonne nuit,word,games_routines,0.07,0.12,0,0.18,0.25,0.23,0.41,0.39,0.55,0.64,0.75,0.54,0.82,0.77,0.69
19,bravo,word,games_routines,0.27,0.42,0,0.91,0.6,0.71,0.76,0.87,0.91,0.88,0.91,0.92,0.94,0.91,1
